Name;StartDate;StartTime;EndDate;EndTime;Repeat;RepeatUntil;description;location;categories;LeiterZeltlager;Teilnehmer
Skischulung;06.01.2023;;08.01.2023;;;;Treffen des Leitungteams der SMJ Ulm/Alb/Donau;Treffen des Leitungteams der SMJ Ulm/Alb/Donau;Abteilung;;
Bündnisanadacht;18.01.2023;18:00;18.01.2023;20:00;MONTHLY;18.12.2023;Andacht mit anschließender Aktion;Bildstock Baustetten;Abteilung;;1
Fasnet;11.02.2023;;;;;;;Baustetten;Abteilung;;1
VS - Diözesankonferenz;03.03.2023;;05.03.2023;;;;;Schönstattzentrum Liebfrauenhöhe ;Diozöse;;
Führungskreis;24.03.2023;18:00;24.03.2023;23:59;;;Treffen des Leitungteams der SMJ Ulm/Alb/Donau;;Abteilung;;
Jugendgottestdienst Baustetten;26.03.2023;10:00;26.03.2023;11:00;;;gestaltet durch die SMJ Ulm/Alb/Donau;Baustetten;Abteilung;;1
1. Zeltlagervorbereitung;31.03.2023;18:00;02.04.2023;14:00;;;Treffen des Zeltlager Leitungsteam;Harthausen;Zeltlager;1;
Kreuzweg;07.04.2023;10:00;07.04.2023;11:00;;;gestaltet durch die Schönstattjugend Baustetten;Baustetten;Abteilung;;1
Gruppenleiterschulung;10.04.2023;;14.04.2023;;;;für angehende Gruppenleiter(ab 15 Jahre);Schönstattzentrum Aulendorf;Diozöse;;1
Nachtaktiv;15.04.2023;18:00;16.04.2023;14:00;;;Treffen der Schönstattjugend Rottenburg-Stuttgart (SMJ + MJF)(ab 16 Jahre);Schönstattzentrum Liebfrauenhöhe ;Diozöse;;1
LaGo;21.04.2023;;23.04.2023;;;;Wochenende für Mädels und Jungs ab 9 Jahre;;Abteilung;;1
Diözesankonferenz Baden;05.05.2023;;07.05.2023;;;;Treffen der Abteilungsleiter der SMJ Rottenburg-Stuttgart;;Dioz�se;;
Führungskreis;28.05.2023;18:00;28.05.2023;23:59;;;Treffen des Leitungteams der SMJ Ulm/Alb/Donau;;Abteilung;;
Sternwallfahrt Untermarchtal;02.06.2023;;04.06.2023;;;;Wanderung von Harthausen nach Untermarchtal(ab 14 Jahre);Untermarchtal;Abteilung;;1
Abteilungausflug;10.06.2023;;11.06.2023;;;;;;Abteilung;;1
2. Zeltlagervorbereitung;16.06.2023;18:00;18.06.2023;14:00;;;Treffen des Zeltlager Leitungsteam;;Zeltlager;1;
Zeltlagerführungskreis;23.07.2023;13:00;23.07.2023;18:00;;;Treffen des Zeltlager Leitungsteam;;Zeltlager;1;
Weltjugendtag;01.08.2023;;07.08.2023;;;;;;;;1
Zeltlager Aufbau;09.08.2023;14:00;10.08.2023;17:00;;;;Hermannsbühl bei Enabeuren;Zeltlager;1;
Zeltlager;11.08.2023;17:00;18.08.2023;17:00;;;9 bis 16 Jahre;Hermannsbühl bei Enabeuren;Zeltlager;1;1
Zeltlager Abbau;18.08.2023;17:00;19.08.2023;20:00;;;;Hermannsbühl bei Enabeuren;Zeltlager;1;
Nacht des Heiligtums;01.09.2023;;03.09.2023;;;;deutschlandweite Veranstaltung der Schönstattjugend (ab 15 Jahre);Schönstatt;Schönstattjugend Deutschland;;1
Führungskreis;09.09.2023;;;;;;Treffen des Leitungteams der SMJ Ulm/Alb/Donau;Harthausen;Abteilung;;
Zeltlagernachbesprechung;10.09.2023;;;;;;Treffen des Zeltlager Leitungsteam;Harthausen;Zeltlager;1;
Jugendgottesdienst + Jugger Turnier;24.09.2023;;;;;;gestaltet durch die SMJ Ulm/Alb/Donau;;Abteilung;;1
Wasendiözesankonferenz;06.10.2023;;08.10.2023;;;;Treffen der Abteilungsleiter der SMJ Rottenburg-Stuttgart;Stuttgart;Dioz�se;;
Bündnistage;27.10.2023;;29.10.2023;;;;Aktion der SMJ Rottenburg - Stuttgart;;Diozöse;;1
Führungskreis;11.11.2023;14:00;11.11.2023;23:59;;;Treffen des Leitungteams der SMJ Ulm/Alb/Donau;;Abteilung;;
Lagertag;26.11.2023;14:00;26.11.2023;18:00;;;Zeltlager Diashow;;Zeltlager;1;1
ADVENTure Weekend;02.12.2023;13:00;03.12.2023;13:00;;;Wochenende für Jungs ab 9 Jahre;Harthausen;Abteilung;;1
Weihnachstfeier;18.12.2023;18:00;18.12.2023;20:00;;;findet nach der Bündnisandacht statt;Baustetten;Abteilung;;1
Skischulung;05.01.2024;;07.01.2024;;;;Treffen des Leitungteams der SMJ Ulm/Alb/Donau;;Abteilung;;
